model,accuracy,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
Multiclass Logistic Regression,0.8511221945137157,0.8510933026299025,0.8538224698437077,0.8511066129397961,0.8520339893317517,0.8511221945137157,0.8502644300161508
Multiclass Linear SVM,0.8473815461346633,0.8472611830839334,0.8495582681951325,0.8473177945833261,0.8473554535205744,0.8473815461346633,0.8463223981133479
Multiclass BiLSTM Neural Network,0.8428927680798005,0.8470024196120245,0.8439359280416462,0.8450345434701022,0.8452209732261725,0.8428927680798005,0.8436355949342061
Multiclass Random Forest,0.7890274314214464,0.7928188421383061,0.7937533490241181,0.7883230010322833,0.7952900653055306,0.7890274314214464,0.7872328645615381
Multiclass Multinomial Naive Bayes,0.6845386533665836,0.7251603075287286,0.6745199739461505,0.6629769021817172,0.719677043130121,0.6845386533665836,0.6670109459016135
