Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.8566084788029925,0.8402961396086727,0.8533834586466166,0.846789235278444
Linear SVM,0.8413965087281795,0.8192708333333333,0.8447905477980666,0.8318350079323109
BiLSTM Neural Network,0.8403990024937655,0.8479498861047836,0.7996777658431794,0.8231066887783306
Random Forest,0.8154613466334164,0.7802197802197802,0.8388829215896885,0.8084886128364389
Multinomial Naive Bayes,0.7793017456359103,0.8621200889547813,0.6245972073039742,0.7243849268140766
Transformer DistilBERT SST-2,0.7565,0.8184438040345822,0.6114101184068891,0.6999383857054837
