aspect,positive_count,negative_count,total_mentions,positive_percentage,negative_percentage,avg_vader_compound,vader_positive_count,vader_negative_count,vader_positive_percentage
Gameplay,746,1451,2197,33.95539371870733,66.04460628129267,0.0590521620391443,1258,939,57.25989986345016
Graphics,423,329,752,56.25,43.75,0.3115527925531915,549,203,73.00531914893617
Performance/Bugs,447,1794,2241,19.946452476572958,80.05354752342704,-0.15085555555555555,930,1311,41.49933065595716
Servers/Online,121,600,721,16.78224687933426,83.21775312066573,-0.09823425797503467,327,394,45.35367545076283
Career/Content,629,1140,1769,35.5568117580554,64.44318824194461,0.10725488976823064,1067,702,60.316563029960435
Price/Monetization,664,3543,4207,15.783218445448064,84.21678155455193,-0.103858592821488,1966,2241,46.73163774661278
